,number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_beta1,params_beta2,params_epochs,params_eta_min,params_factor,params_gamma,params_lr,params_max_lr,params_momentum,params_optimizer,params_patience,params_preweight_mode,params_scheduler,params_step_size,params_weight_decay,state
46,46,0.0,2025-01-28 20:49:23.803379,2025-01-28 20:51:05.175103,0 days 00:01:41.371724,,4,,,13,,0.10479118920717062,,0.005288591142688149,,0.9889513645359227,SGD,5.0,fine_tuning,ReduceLROnPlateau,,1.0646635850511832e-05,PRUNED
47,47,0.6094167232513428,2025-01-28 20:51:05.191956,2025-01-28 20:55:55.899690,0 days 00:04:50.707734,,4,0.9697173122848001,0.9379405793046511,14,,,0.31801696752454617,0.00012276199309866305,,,Adam,,fine_tuning,StepLR,4.0,,COMPLETE
48,48,0.058321546763181686,2025-01-28 20:55:55.925815,2025-01-28 20:57:11.491225,0 days 00:01:15.565410,,5,0.989779981875983,0.9771368359327092,16,,,,0.0023045292317855613,0.009898727590233677,,Adam,,freezing,OneCycleLR,,,PRUNED
49,49,0.5163629055023193,2025-01-28 20:57:11.507710,2025-01-28 20:59:28.339689,0 days 00:02:16.831979,,8,0.9347840377937333,0.9297447958941468,11,,,,0.00025621696787348093,0.00046747378871020775,,Adam,,fine_tuning,OneCycleLR,,,PRUNED
50,50,0.14250175654888153,2025-01-28 20:59:28.356863,2025-01-28 21:01:32.581540,0 days 00:02:04.224677,,4,,,19,,,,0.005200213208257925,0.0009281119802502521,0.9370047671630263,SGD,,random,OneCycleLR,,0.0002173123461923662,PRUNED
51,51,0.14329995214939117,2025-01-28 21:01:32.596217,2025-01-28 21:03:37.257107,0 days 00:02:04.660890,15.0,4,0.9616671795795471,0.909255133568009,15,1.1870883322527299e-07,,,0.00020173020369454065,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
52,52,0.6219627261161804,2025-01-28 21:03:37.274330,2025-01-28 21:08:07.398382,0 days 00:04:30.124052,12.0,4,0.9571340661043028,0.9000484416904446,13,1.0050809634880612e-07,,,0.00010465545081127387,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
53,53,0.6477471590042114,2025-01-28 21:08:07.416491,2025-01-28 21:13:39.045367,0 days 00:05:31.628876,13.0,4,0.9126328753829949,0.9121629117728103,16,3.1793737380143923e-07,,,0.00010492575582391644,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
54,54,0.0,2025-01-28 21:13:39.071617,2025-01-28 21:15:23.307499,0 days 00:01:44.235882,12.0,4,,,17,3.3189903207762896e-07,,,0.0010489638596681676,,0.9603098873679734,RMSprop,,fine_tuning,CosineAnnealingLR,,0.9298642546053107,PRUNED
55,55,0.6638867259025574,2025-01-28 21:15:23.324986,2025-01-28 21:20:51.784087,0 days 00:05:28.459101,9.0,5,0.9111634369772167,0.9162386997235443,16,1.9278495991280634e-06,,,0.00013107620863976564,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
56,56,0.6107025742530823,2025-01-28 21:20:51.810932,2025-01-28 21:26:20.603651,0 days 00:05:28.792719,9.0,5,0.9125174377350218,0.914031744020152,16,1.959753179993639e-06,,,0.00012855907844090773,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
57,57,0.607025146484375,2025-01-28 21:26:20.629813,2025-01-28 21:32:30.650252,0 days 00:06:10.020439,7.0,5,0.9140014297312073,0.9211340490335819,18,6.93897200007316e-07,,,0.00015589442864678705,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
58,58,0.6133225560188293,2025-01-28 21:32:30.682492,2025-01-28 21:38:40.442128,0 days 00:06:09.759636,11.0,5,0.8915120288187877,0.9131823799842615,18,2.4491549796550445e-06,,,0.00013612520265990398,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
59,59,0.45000603795051575,2025-01-28 21:38:40.468469,2025-01-28 21:40:45.188295,0 days 00:02:04.719826,13.0,4,0.8460323518690804,0.9261876483994458,16,2.60019226386084e-07,,,0.00032570051558951726,,,Adam,,fine_tuning,CosineAnnealingLR,,,PRUNED
60,60,0.4502130448818207,2025-01-28 21:40:45.206152,2025-01-28 21:42:48.689444,0 days 00:02:03.483292,6.0,5,0.9052103458028157,0.9067994997513267,15,1.4305539934373837e-06,,,0.0001035426089894685,,,Adam,,random,CosineAnnealingLR,,,PRUNED
61,61,0.6335756182670593,2025-01-28 21:42:48.706989,2025-01-28 21:48:41.489435,0 days 00:05:52.782446,,4,0.9228941684541507,0.9474168757909908,17,,,,0.00018892576763654368,0.0019515158624489016,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
62,62,0.6387182474136353,2025-01-28 21:48:41.515818,2025-01-28 21:52:50.771334,0 days 00:04:09.255516,,4,0.9927661636330338,0.9584681617281124,12,,,,0.00021810053261395532,0.0013376581076827768,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
63,63,0.31616392731666565,2025-01-28 21:52:50.790169,2025-01-28 21:54:55.747966,0 days 00:02:04.957797,,4,0.976223319450826,0.9908727101301757,14,,0.38341069715638915,,0.00015556069747538223,,,Adam,3.0,fine_tuning,ReduceLROnPlateau,,,PRUNED
64,64,0.6452711224555969,2025-01-28 21:54:55.768377,2025-01-28 21:59:04.946643,0 days 00:04:09.178266,,4,0.9441683395971945,0.9425417908732278,12,,,,0.00012164759289433437,0.0016049697945508738,,Adam,,fine_tuning,OneCycleLR,,,COMPLETE
65,65,0.6393327713012695,2025-01-28 21:59:04.973156,2025-01-28 22:02:32.661609,0 days 00:03:27.688453,9.0,4,0.940265955700866,0.9640650201339005,10,3.7018881080883813e-06,,,0.00011434289329499881,,,Adam,,fine_tuning,CosineAnnealingLR,,,COMPLETE
